序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
1,100年,新北市,"1,051,951","390,719","31,097","444,186","185,949",0.738
2,90年,新北市,"1,286,298","1,227,514",0,"58,783",0,0.987
3,"100年 1月",新北市,"98,123","38,322","4,035","40,005","15,761",0.812
4,"90年 1月",新北市,"131,346","125,783",0,"5,563",0,1.189
5,"100年 2月",新北市,"84,851","32,852","1,795","35,871","14,332",0.777
6,"90年 2月",新北市,"104,559","99,298",0,"5,261",0,1.047
7,"100年 3月",新北市,"85,577","31,664","2,335","36,436","15,142",0.708
8,"90年 3月",新北市,"103,025","98,729",0,"4,296",0,0.931
9,"100年 4月",新北市,"86,521","29,661","2,330","38,889","15,641",0.74
10,"100年 5月",新北市,"88,558","31,188","2,319","38,383","16,668",0.732
11,"90年 4月",新北市,"101,620","97,380",0,"4,241",0,0.948
12,"100年 6月",新北市,"90,620","32,246","2,315","39,257","16,802",0.774
13,"90年 5月",新北市,"109,071","104,264",0,"4,806",0,0.982
14,"100年 7月",新北市,"85,310","29,835","2,664","36,170","16,641",0.705
15,"90年 6月",新北市,"106,699","102,271",0,"4,428",0,0.991
16,"100年 8月",新北市,"81,706","30,006","2,308","33,342","16,050",0.675
17,"90年 7月",新北市,"108,200","103,175",0,"5,025",0,0.972
18,"100年 9月",新北市,"81,571","33,292","2,637","30,763","14,879",0.696
19,"100年 10月",新北市,"86,507","33,649","2,532","35,048","15,277",0.714
20,"90年 8月",新北市,"103,163","98,075",0,"5,088",0,0.926
21,"100年 11月",新北市,"85,520","32,334","2,842","35,792","14,552",0.729
22,"90年 9月",新北市,"103,835","99,321",0,"4,514",0,0.962
23,"100年 12月",新北市,"97,087","35,669","2,985","44,229","14,204",0.8
24,"90年 10月",新北市,"103,522","98,135",0,"5,387",0,0.929
25,101年,新北市,"1,111,862","420,150","32,691","495,112","163,910",0.773
26,"90年 11月",新北市,"104,292","99,154",0,"5,137",0,0.966
27,"101年 1月",新北市,"110,305","43,988","4,249","48,009","14,059",0.908
28,"101年 2月",新北市,"85,204","31,638","2,058","38,271","13,237",0.75
29,"90年 12月",新北市,"106,967","101,930",0,"5,037",0,0.96
30,"101年 3月",新北市,"93,923","36,372","2,373","41,551","13,627",0.773
31,91年,新北市,"1,372,305","1,291,157",0,"81,148",0,1.059
32,"101年 4月",新北市,"91,407","34,759","2,516","40,268","13,865",0.777
33,"91年 1月",新北市,"113,703","107,910",0,"5,792",0,1.02
34,"101年 5月",新北市,"95,168","36,147","2,733","42,023","14,265",0.783
35,"101年 6月",新北市,"95,671","36,473","2,697","41,974","14,527",0.812
36,"91年 2月",新北市,"115,644","110,183",0,"5,462",0,1.144
37,"101年 7月",新北市,"94,415","34,574","2,747","43,037","14,057",0.776
38,"91年 3月",新北市,"109,490","103,800",0,"5,690",0,0.978
39,"101年 8月",新北市,"93,196","35,175","3,288","41,711","13,022",0.765
40,"91年 4月",新北市,"114,683","109,166",0,"5,517",0,1.057
41,"101年 9月",新北市,"85,463","31,560","3,048","38,237","12,618",0.725
42,"91年 5月",新北市,"119,876","113,607",0,"6,269",0,1.069
43,"101年 10月",新北市,"88,226","32,874","2,554","39,026","13,772",0.723
44,"101年 11月",新北市,"87,283","32,946","2,095","38,521","13,721",0.739
45,"91年 6月",新北市,"114,390","108,949",0,"5,441",0,1.078
46,"101年 12月",新北市,"91,602","33,645","2,334","42,483","13,140",0.75
47,"91年 7月",新北市,"119,508","112,686",0,"6,821",0,1.115
48,102年,新北市,"1,067,465","377,491","36,240","499,362","154,372",0.741
49,"91年 8月",新北市,"116,490","109,577",0,"6,913",0,1.087
50,"102年 1月",新北市,"92,111","36,068","4,264","39,292","12,487",0.754
51,"91年 9月",新北市,"112,628","105,128",0,"7,500",0,1.085
