序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
1,100年,臺北市,"959,025","378,591","14,230","477,590","88,615",0.997
2,90年,臺北市,"1,049,394","994,312",0,"55,082",0,1.089
3,"100年 1月",臺北市,"84,890","37,233","1,484","39,134","7,040",1.045
4,"90年 1月",臺北市,"94,378","90,653",0,"3,725",0,1.15
5,"100年 2月",臺北市,"69,557","29,576",641,"33,272","6,068",0.947
6,"90年 2月",臺北市,"64,442","60,061",0,"4,381",0,0.87
7,"100年 3月",臺北市,"73,101","30,170","1,030","35,164","6,737",0.898
8,"90年 3月",臺北市,"70,017","65,702",0,"4,316",0,0.854
9,"100年 4月",臺北市,"79,466","29,606",977,"41,728","7,154",1.008
10,"100年 5月",臺北市,"81,356","32,155","1,123","40,368","7,709",0.997
11,"90年 4月",臺北市,"67,347","63,698",0,"3,649",0,0.849
12,"100年 6月",臺北市,"81,765","31,799","1,192","40,690","8,084",1.035
13,"90年 5月",臺北市,"74,970","69,131",0,"5,839",0,0.915
14,"100年 7月",臺北市,"81,876","31,765","1,388","40,748","7,974",1.002
15,"90年 6月",臺北市,"72,285","66,286",0,"5,999",0,0.912
16,"100年 8月",臺北市,"81,613","32,312","1,250","40,385","7,666",0.998
17,"90年 7月",臺北市,"69,876","65,245",0,"4,631",0,0.854
18,"100年 9月",臺北市,"80,854","30,879","1,347","41,143","7,485",1.021
19,"100年 10月",臺北市,"81,257","31,073","1,289","41,158","7,737",0.992
20,"90年 8月",臺北市,"67,898","62,687",0,"5,211",0,0.83
21,"100年 11月",臺北市,"79,462","29,684","1,173","41,105","7,500",1.001
22,"90年 9月",臺北市,"188,111","184,477",0,"3,635",0,2.379
23,"100年 12月",臺北市,"83,829","32,337","1,336","42,695","7,461",1.021
24,"90年 10月",臺北市,"129,355","124,260",0,"5,095",0,1.584
25,101年,臺北市,"843,699","261,524","15,478","478,629","88,067",0.866
26,"90年 11月",臺北市,"88,312","84,061",0,"4,251",0,1.117
27,"101年 1月",臺北市,"76,247","25,227","1,230","42,477","7,312",0.927
28,"101年 2月",臺北市,"66,644","20,266",944,"38,731","6,703",0.866
29,"90年 12月",臺北市,"62,403","58,052",0,"4,351",0,0.764
30,"101年 3月",臺北市,"71,475","23,183","1,230","39,491","7,572",0.868
31,91年,臺北市,"963,281","741,890",0,"221,391",0,1
32,"101年 4月",臺北市,"67,873","19,589","1,113","39,690","7,481",0.851
33,"91年 1月",臺北市,"86,783","69,385",0,"17,398",0,1.063
34,"101年 5月",臺北市,"69,879","21,027","1,245","39,456","8,151",0.847
35,"101年 6月",臺北市,"73,147","23,792","1,323","39,906","8,126",0.916
36,"91年 2月",臺北市,"74,759","61,272",0,"13,487",0,1.014
37,"101年 7月",臺北市,"71,311","22,325","1,545","40,000","7,442",0.864
38,"91年 3月",臺北市,"76,417","60,644",0,"15,774",0,0.936
39,"101年 8月",臺北市,"70,114","21,854","1,470","39,672","7,118",0.849
40,"91年 4月",臺北市,"83,085","63,332",0,"19,753",0,1.052
41,"101年 9月",臺北市,"68,723","20,154","2,011","39,784","6,774",0.859
42,"91年 5月",臺北市,"84,383","64,258",0,"20,125",0,1.033
43,"101年 10月",臺北市,"70,101","21,694","1,108","40,038","7,261",0.848
44,"101年 11月",臺北市,"69,623","21,910","1,008","39,479","7,225",0.869
45,"91年 6月",臺北市,"78,389","59,368",0,"19,021",0,0.992
46,"101年 12月",臺北市,"68,562","20,504","1,252","39,904","6,903",0.828
47,"91年 7月",臺北市,"82,806","62,897",0,"19,910",0,1.013
48,102年,臺北市,"830,676","267,250","16,012","466,450","80,964",0.849
49,"91年 8月",臺北市,"81,772","62,250",0,"19,522",0,1
50,"102年 1月",臺北市,"71,310","22,751","1,491","40,299","6,768",0.86
51,"91年 9月",臺北市,"75,875","56,823",0,"19,052",0,0.959
52,"102年 2月",臺北市,"67,685","22,138",932,"38,309","6,306",0.903
53,"102年 3月",臺北市,"67,887","21,603","1,100","38,394","6,789",0.818
54,"91年 10月",臺北市,"94,644","75,033",0,"19,611",0,1.157
55,"102年 4月",臺北市,"67,883","20,886","1,130","38,876","6,990",0.845
56,"91年 11月",臺北市,"70,539","51,850",0,"18,689",0,0.89
