序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
1,100年,桃園市,"671,696","295,485","7,800","277,975","90,435",0.917
2,90年,桃園市,"655,222","616,658",0,"38,565",0,1.031
3,"100年 1月",桃園市,"63,683","29,189","1,061","26,048","7,384",1.026
4,"90年 1月",桃園市,"58,965","54,904",0,"4,061",0,1.105
5,"100年 2月",桃園市,"56,459","25,879",487,"23,188","6,905",1.007
6,"90年 2月",桃園市,"49,816","46,949",0,"2,867",0,1.032
7,"100年 3月",桃園市,"55,445","26,143",692,"21,671","6,939",0.893
8,"90年 3月",桃園市,"54,688","51,543",0,"3,144",0,1.021
9,"100年 4月",桃園市,"52,570","22,576",451,"22,483","7,061",0.875
10,"100年 5月",桃園市,"49,952","19,893",584,"21,995","7,480",0.804
11,"90年 4月",桃園市,"53,982","50,973",0,"3,010",0,1.04
12,"100年 6月",桃園市,"56,808","25,851",639,"22,740","7,578",0.944
13,"90年 5月",桃園市,"56,973","53,658",0,"3,315",0,1.06
14,"100年 7月",桃園市,"59,963","26,952",686,"24,210","8,115",0.964
15,"90年 6月",桃園市,"55,150","52,100",0,"3,050",0,1.059
16,"100年 8月",桃園市,"59,536","26,665",668,"23,836","8,367",0.956
17,"90年 7月",桃園市,"56,597","53,407",0,"3,190",0,1.048
18,"100年 9月",桃園市,"56,023","24,201",708,"23,185","7,929",0.929
19,"100年 10月",桃園市,"55,436","23,193",695,"23,946","7,602",0.889
20,"90年 8月",桃園市,"54,057","50,797",0,"3,260",0,0.996
21,"100年 11月",桃園市,"44,390","13,195",642,"22,838","7,714",0.736
22,"90年 9月",桃園市,"59,340","56,363",0,"2,977",0,1.128
23,"100年 12月",桃園市,"61,433","31,748",486,"21,836","7,362",0.985
24,"90年 10月",桃園市,"53,666","50,141",0,"3,525",0,0.986
25,101年,桃園市,"714,860","298,916","6,367","302,004","107,573",0.966
26,"90年 11月",桃園市,"50,434","47,333",0,"3,102",0,0.956
27,"101年 1月",桃園市,"62,208","28,329",678,"25,207","7,995",0.997
