統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤)
2011-01-01,新北市,98123,38322,4035,40005,15761,0.812
2011-01-01,臺北市,84890,37233,1484,39134,7040,1.045
2011-01-01,桃園市,63683,29189,1061,26048,7384,1.026
2011-01-01,臺中市,69403,36596,1377,25685,5745,0.845
2011-01-01,臺南市,51527,25986,1684,18793,5065,0.887
2011-01-01,高雄市,90038,47973,2318,32857,6890,1.047
2011-01-01,宜蘭縣,14999,6406,395,5618,2580,1.051
2001-01-01,新北市,131346,125783,0,5563,0,1.189
2011-01-01,新竹縣,15102,8275,460,5197,1169,0.949
2001-01-01,臺北市,94378,90653,0,3725,0,1.15
2011-01-01,苗栗縣,15009,8400,258,5331,1021,0.863
2001-01-01,桃園市,58965,54904,0,4061,0,1.105
2011-01-01,彰化縣,39402,23011,525,11379,4487,0.972
2001-01-01,臺中市,69883,60089,0,9794,0,0.957
2011-01-01,南投縣,15593,8017,267,5616,1694,0.956
2001-01-01,臺中市(舊),24252,19257,0,4995,0,0.813
2011-01-01,雲林縣,16649,10710,327,4449,1162,0.749
2001-01-01,臺中縣,45631,40832,0,4799,0,1.057
2011-01-01,嘉義縣,15666,9479,275,5076,836,0.931
2001-01-01,臺南市,58673,54257,0,4416,0,1.029
2011-01-01,屏東縣,23060,14260,722,6706,1371,0.852
2001-01-01,臺南市(舊),24241,21916,0,2325,0,1.064
2011-01-01,臺東縣,5953,3396,139,1897,520,0.833
2001-01-01,臺南縣,34432,32341,0,2091,0,1.006
2011-01-01,花蓮縣,9382,4906,434,3326,717,0.894
2001-01-01,高雄市,86309,79541,0,6768,0,1.023
2011-01-01,澎湖縣,2812,1564,21,935,293,0.936
2001-01-01,高雄市(舊),50355,45689,0,4666,0,1.089
2011-01-01,基隆市,12689,6076,437,5105,1071,1.066
2001-01-01,高雄縣,35954,33852,0,2102,0,0.942
2011-01-01,新竹市,13641,6410,898,5289,1043,1.059
2001-01-01,宜蘭縣,17474,15391,0,2084,0,1.212
2011-01-01,嘉義市,9207,4876,296,3130,904,1.09
2001-01-01,新竹縣,14192,12478,0,1714,0,1.052
2011-01-01,金門縣,1590,896,74,503,118,0.526
2001-01-01,苗栗縣,18069,16907,0,1162,0,1.057
2011-01-01,連江縣,683,258,33,274,119,2.215
2001-01-01,彰化縣,40825,38446,0,2379,0,1.005
2011-02-01,新北市,84851,32852,1795,35871,14332,0.777
2001-01-01,南投縣,15764,14065,0,1699,0,0.962
2011-02-01,臺北市,69557,29576,641,33272,6068,0.947
2001-01-01,雲林縣,21285,20111,0,1174,0,0.924
2011-02-01,桃園市,56459,25879,487,23188,6905,1.007
2001-01-01,嘉義縣,18424,17486,0,938,0,1.061
2011-02-01,臺中市,63020,32401,991,24010,5619,0.849
2001-01-01,屏東縣,29808,28594,0,1214,0,1.066
2011-02-01,臺南市,48038,25206,712,16952,5169,0.916
2001-01-01,臺東縣,9940,8955,0,985,0,1.317
2011-02-01,高雄市,79517,40865,1725,30310,6616,1.024
2001-01-01,花蓮縣,15778,14836,0,942,0,1.447
2011-02-01,宜蘭縣,13692,5458,322,5387,2525,1.062
2001-01-01,澎湖縣,3403,3247,0,156,0,1.227
2011-02-01,新竹縣,12687,7201,35,4314,1137,0.883
2001-01-01,基隆市,15258,13035,0,2223,0,1.267
2011-02-01,苗栗縣,14599,7426,120,6061,991,0.929
2001-01-01,新竹市,15767,13746,0,2021,0,1.38
2011-02-01,彰化縣,36998,20921,581,10914,4582,1.011
2001-01-01,嘉義市,9900,9663,0,237,0,1.199
2011-02-01,南投縣,13966,7296,106,4940,1624,0.948
2001-01-01,金門縣,2383,2278,0,105,0,1.422
2011-02-01,雲林縣,15507,9941,169,4240,1158,0.772
2001-01-01,連江縣,0,0,0,0,0,0
2011-02-01,嘉義縣,14915,9173,210,4699,833,0.982
2001-02-01,新北市,104559,99298,0,5261,0,1.047
2011-02-01,屏東縣,21055,12681,359,6637,1378,0.862
2001-02-01,臺北市,64442,60061,0,4381,0,0.87
2011-02-01,臺東縣,5779,3284,117,1857,520,0.896
2001-02-01,桃園市,49816,46949,0,2867,0,1.032
2011-02-01,花蓮縣,8444,4454,73,3173,744,0.891
2001-02-01,臺中市,56585,48982,0,7602,0,0.857
2011-02-01,澎湖縣,2642,1437,16,908,281,0.974
2001-02-01,臺中市(舊),20133,16018,0,4115,0,0.746
2011-02-01,基隆市,11638,5525,203,4851,1058,1.084
2001-02-01,臺中縣,36451,32964,0,3487,0,0.933
2011-02-01,新竹市,10570,5473,225,3816,1056,0.908
2001-02-01,臺南市,50396,46103,0,4293,0,0.979
2011-02-01,嘉義市,8365,4232,210,2967,956,1.097
2001-02-01,臺南市(舊),19980,17810,0,2169,0,0.971
2011-02-01,金門縣,1525,897,18,493,116,0.557
2001-02-01,臺南縣,30416,28292,0,2124,0,0.984
2011-02-01,連江縣,612,187,40,273,113,2.198
2001-02-01,高雄市,73746,67873,0,5873,0,0.967
2011-03-01,新北市,85577,31664,2335,36436,15142,0.708
2001-02-01,高雄市(舊),43483,39683,0,3800,0,1.041
