統計期,統計區,總計 (公噸),一般垃圾 (公噸),巨大垃圾 (公噸),資源垃圾 (公噸),廚餘 (公噸),平均每人每日一般廢棄物產生量 (公斤),ratio
2001-01-01,新北市,131346,125783,0,5563,0,1.189,22.61064174006831
2001-01-01,臺北市,94378,90653,0,3725,0,1.15,24.336375838926173
2001-01-01,桃園市,58965,54904,0,4061,0,1.105,13.519822703767545
2001-01-01,臺中市,69883,60089,0,9794,0,0.957,6.135286910353278
2001-01-01,臺中市(舊),24252,19257,0,4995,0,0.813,3.8552552552552553
2001-01-01,臺中縣,45631,40832,0,4799,0,1.057,8.508439258178788
2001-01-01,臺南市,58673,54257,0,4416,0,1.029,12.286458333333334
2001-01-01,臺南市(舊),24241,21916,0,2325,0,1.064,9.426236559139785
2001-01-01,臺南縣,34432,32341,0,2091,0,1.006,15.46676231468197
2001-01-01,高雄市,86309,79541,0,6768,0,1.023,11.75251182033097
2001-01-01,高雄市(舊),50355,45689,0,4666,0,1.089,9.791898842691813
2001-01-01,高雄縣,35954,33852,0,2102,0,0.942,16.104662226450998
2001-01-01,宜蘭縣,17474,15391,0,2084,0,1.212,7.38531669865643
2001-01-01,新竹縣,14192,12478,0,1714,0,1.052,7.280046674445741
2001-01-01,苗栗縣,18069,16907,0,1162,0,1.057,14.549913941480206
2001-01-01,彰化縣,40825,38446,0,2379,0,1.005,16.16057166876839
2001-01-01,南投縣,15764,14065,0,1699,0,0.962,8.27839905826957
2001-01-01,雲林縣,21285,20111,0,1174,0,0.924,17.13032367972743
2001-01-01,嘉義縣,18424,17486,0,938,0,1.061,18.64179104477612
2001-01-01,屏東縣,29808,28594,0,1214,0,1.066,23.55354200988468
2001-01-01,臺東縣,9940,8955,0,985,0,1.317,9.091370558375635
2001-01-01,花蓮縣,15778,14836,0,942,0,1.447,15.749469214437367
2001-01-01,澎湖縣,3403,3247,0,156,0,1.227,20.814102564102566
2001-01-01,基隆市,15258,13035,0,2223,0,1.267,5.863697705802969
2001-01-01,新竹市,15767,13746,0,2021,0,1.38,6.801583374567046
2001-01-01,嘉義市,9900,9663,0,237,0,1.199,40.77215189873418
2001-01-01,金門縣,2383,2278,0,105,0,1.422,21.695238095238096
2001-01-01,連江縣,0,0,0,0,0,0,NaN
2001-02-01,新北市,104559,99298,0,5261,0,1.047,18.874358486979663
2001-02-01,臺北市,64442,60061,0,4381,0,0.87,13.709427071444875
2001-02-01,桃園市,49816,46949,0,2867,0,1.032,16.37565399372166
2001-02-01,臺中市,56585,48982,0,7602,0,0.857,6.443304393580637
2001-02-01,臺中市(舊),20133,16018,0,4115,0,0.746,3.892588092345079
2001-02-01,臺中縣,36451,32964,0,3487,0,0.933,9.453398336679093
2001-02-01,臺南市,50396,46103,0,4293,0,0.979,10.739110179361752
2001-02-01,臺南市(舊),19980,17810,0,2169,0,0.971,8.211157215306592
2001-02-01,臺南縣,30416,28292,0,2124,0,0.984,13.32015065913371
2001-02-01,高雄市,73746,67873,0,5873,0,0.967,11.556785288608888
2001-02-01,高雄市(舊),43483,39683,0,3800,0,1.041,10.442894736842105
2001-02-01,高雄縣,30263,28190,0,2073,0,0.878,13.598649300530631
2001-02-01,宜蘭縣,14497,12490,0,2007,0,1.113,6.223218734429497
2001-02-01,新竹縣,11756,10294,0,1462,0,0.966,7.0410396716826265
2001-02-01,苗栗縣,14389,13349,0,1040,0,0.933,12.835576923076923
2001-02-01,彰化縣,29926,28368,0,1558,0,0.815,18.20795892169448
2001-02-01,南投縣,14291,13229,0,1061,0,0.957,12.4684260131951
2001-02-01,雲林縣,19186,17654,0,1532,0,0.923,11.523498694516972
2001-02-01,嘉義縣,15870,14961,0,908,0,1.011,16.476872246696036
2001-02-01,屏東縣,24397,23218,0,1179,0,0.964,19.692960135708226
2001-02-01,臺東縣,8548,7360,0,1188,0,1.254,6.1952861952861955
2001-02-01,花蓮縣,12955,12206,0,749,0,1.316,16.296395193591454
2001-02-01,澎湖縣,2850,2584,0,266,0,1.137,9.714285714285714
2001-02-01,基隆市,11782,9544,0,2238,0,1.083,4.264521894548704
2001-02-01,新竹市,11820,10395,0,1425,0,1.144,7.294736842105263
2001-02-01,嘉義市,8078,7898,0,180,0,1.083,43.87777777777778
