"","統計期","統計區","失業率","平均每戶人數","平均每人可支配所得","平均每戶消費支出","平均每人每日一般廢棄物產生量 (公斤)","regionno"
"1",2001,"高雄市",5,3.46,487371,582764,0.921,1
"22",2002,"高雄市",5.5,3.51,477386,583099,0.901,1
"43",2003,"高雄市",5.2,3.4,471228,588440,0.92,1
"64",2004,"高雄市",4.6,3.38,497350,620203,0.894,1
"85",2005,"高雄市",4.2,3.33,511747,620203,0.907,1
"106",2006,"高雄市",4.2,3.31,500014,643684,0.994,1
"127",2007,"高雄市",4.2,3.27,520058,644730,1.056,1
"148",2008,"高雄市",4.3,3.29,504016,644122,1.042,1
"169",2009,"高雄市",5.9,3.18,493241,656155,1.071,1
"190",2010,"高雄市",5.3,3.12,516116,652826,1.05,1
"211",2011,"高雄市",4.4,3.16,487309,686354,0.982,1
"232",2012,"高雄市",4.3,3.15,506413,694285,0.938,1
"253",2013,"高雄市",4.2,3.1,501446,709823,0.929,1
"274",2014,"高雄市",3.9,3.05,506404,722305,0.911,1
"295",2015,"高雄市",3.8,2.96,520373,752712,0.885,1
"331",2016,"高雄市",4,3.17,500830,786097,0.911,1
"332",2016,"高雄市",4,3.17,500830,786097,0.911,1
"358",2017,"高雄市",3.8,3.07,517740,795624,0.956,1
"379",2018,"高雄市",3.7,3.05,525139,793253,1.235,1
"20",2018,"花蓮縣",3.5,2.62,480777,613314,1.054,2
"21",2001,"花蓮縣",5.1,3.28,492699,577981,1.376,2
"42",2002,"花蓮縣",5.5,3.43,425272,540780,1.193,2
"63",2003,"花蓮縣",5.3,3.31,463007,547558,1.075,2
"84",2004,"花蓮縣",4.8,3.02,464058,561093,1.092,2
"105",2005,"花蓮縣",4.4,2.9,451556,561093,1.172,2
"126",2006,"花蓮縣",4.2,2.83,476440,532648,1.004,2
"147",2007,"花蓮縣",4.2,2.93,460619,566608,0.877,2
"168",2008,"花蓮縣",4.2,3.06,433596,537914,0.877,2
"189",2009,"花蓮縣",5.9,2.94,422802,551512,0.863,2
"210",2010,"花蓮縣",5.4,2.95,470430,577696,0.892,2
"231",2011,"花蓮縣",4.4,2.8,475333,554335,0.843,2
"252",2012,"花蓮縣",4.3,2.75,486033,566694,0.836,2
"273",2013,"花蓮縣",4.1,2.91,480108,554525,0.862,2
"294",2014,"花蓮縣",3.8,2.64,453463,547353,0.885,2
"329",2015,"花蓮縣",3.7,2.71,464327,563001,0.909,2
"356",2016,"花蓮縣",3.9,2.54,498678,562636,0.925,2
"376",2016,"花蓮縣",3.9,2.54,498678,562636,0.925,2
"378",2017,"花蓮縣",3.7,2.48,479821,586240,0.965,2
"17",2016,"基隆市",4,2.87,485272,762921,1.101,3
"19",2017,"基隆市",3.8,2.84,519825,777924,1.206,3
"37",2016,"基隆市",4,2.87,485272,762921,1.101,3
"40",2018,"基隆市",3.7,2.86,509744,748209,1.509,3
"41",2001,"基隆市",5.1,3.5,447035,641952,0.998,3
