序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
1,100年,新北市,"1,051,951","390,719","31,097","444,186","185,949",0.738
2,90年,新北市,"1,286,298","1,227,514",0,"58,783",0,0.987
3,100年,臺北市,"959,025","378,591","14,230","477,590","88,615",0.997
4,90年,臺北市,"1,049,394","994,312",0,"55,082",0,1.089
5,100年,桃園市,"671,696","295,485","7,800","277,975","90,435",0.917
6,90年,桃園市,"655,222","616,658",0,"38,565",0,1.031
7,100年,臺中市,"781,580","396,130","13,963","302,113","69,374",0.806
8,90年,臺中市,"725,885","619,968",0,"105,918",0,0.823
9,100年,臺南市,"626,914","300,636","14,181","247,607","64,490",0.916
10,90年,臺中市(舊),"257,532","198,823",0,"58,709",0,0.727
11,100年,高雄市,"994,684","487,531","18,503","408,128","80,522",0.982
12,90年,臺中縣,"468,354","421,145",0,"47,209",0,0.887
13,100年,宜蘭縣,"170,173","67,621","3,912","67,699","30,941",1.014
14,90年,臺南市,"653,805","594,969",0,"58,836",0,0.973
15,100年,新竹縣,"168,251","92,761",721,"60,924","13,845",0.895
16,90年,臺南市(舊),"273,225","239,630",0,"33,596",0,1.019
17,100年,苗栗縣,"171,456","91,336","1,819","65,811","12,490",0.837
18,90年,臺南縣,"380,580","355,339",0,"25,241",0,0.943
19,100年,彰化縣,"440,453","246,058","6,097","134,916","53,382",0.925
20,90年,高雄市,"915,367","838,568",0,"76,799",0,0.921
21,100年,南投縣,"169,799","88,157","1,753","59,484","20,404",0.887
22,90年,高雄市(舊),"521,036","473,005",0,"48,030",0,0.956
23,100年,雲林縣,"192,742","121,882","2,421","53,542","14,897",0.738
24,90年,高雄縣,"394,331","365,562",0,"28,769",0,0.878
25,100年,嘉義縣,"184,615","111,607","3,087","59,817","10,104",0.936
26,90年,宜蘭縣,"171,842","156,224",0,"15,618",0,1.011
27,100年,屏東縣,"263,357","159,460","5,343","82,271","16,283",0.83
28,90年,新竹縣,"159,156","146,233",0,"12,923",0,0.992
29,100年,臺東縣,"76,047","44,594","1,359","23,421","6,672",0.908
30,90年,苗栗縣,"195,970","182,424",0,"13,546",0,0.975
31,100年,花蓮縣,"103,997","53,898","1,647","39,489","8,963",0.843
32,90年,彰化縣,"395,342","373,312",0,"22,029",0,0.826
33,100年,澎湖縣,"35,357","18,701",740,"12,068","3,847",0.998
34,90年,南投縣,"158,929","147,905",0,"11,023",0,0.847
35,100年,基隆市,"143,749","66,759","2,945","61,561","12,486",1.031
36,90年,雲林縣,"240,973","225,512",0,"15,461",0,0.889
37,100年,新竹市,"148,758","72,622","4,475","58,071","13,589",0.976
38,90年,嘉義縣,"185,120","173,658",0,"11,463",0,0.903
39,100年,嘉義市,"104,205","51,930","3,684","37,755","10,836",1.05
40,90年,屏東縣,"324,783","311,355",0,"13,427",0,0.984
41,100年,金門縣,"19,964","11,368",535,"6,412","1,649",0.544
42,90年,臺東縣,"106,329","92,505",0,"13,823",0,1.205
43,100年,連江縣,"6,456","2,495",520,"2,015","1,425",1.764
44,90年,花蓮縣,"174,179","162,131",0,"12,048",0,1.376
45,"100年 1月",新北市,"98,123","38,322","4,035","40,005","15,761",0.812
46,90年,澎湖縣,"36,064","32,505",0,"3,559",0,1.089
47,"100年 1月",臺北市,"84,890","37,233","1,484","39,134","7,040",1.045
48,90年,基隆市,"141,884","118,517",0,"23,367",0,0.998
49,"100年 1月",桃園市,"63,683","29,189","1,061","26,048","7,384",1.026
50,90年,新竹市,"153,224","134,600",0,"18,624",0,1.132
51,"100年 1月",臺中市,"69,403","36,596","1,377","25,685","5,745",0.845
52,90年,嘉義市,"109,409","105,970",0,"3,439",0,1.122
53,"100年 1月",臺南市,"51,527","25,986","1,684","18,793","5,065",0.887
