項目別_Iterm,臺灣地區_Taiwan_Area,北部地區_Northern_region,新北市_New_Taipei_City,臺北市_Taipei_City,桃園市_Taoyuan_City,基隆市_Keelung_City,新竹市_Hsinchu_City,宜蘭縣_Yilan_County,新竹縣_Hsinchu_County,中部地區_Central_region,臺中市_Taichung_City,臺中縣_Taichung_County,苗栗縣_Miaoli_County,彰化縣_Changhua_County,南投縣_Nantou_County,雲林縣_Yunlin_County,南部地區_Southern_region,臺南市_Tainan_City,臺南縣_Tainan_County,高雄市_Kaohsiung_City,高雄縣_Kaohsiung_County,嘉義市_Chiayi_City,嘉義縣_Chiayi_County,屏東縣_Pingtung_County,澎湖縣_Penghu_County,東部地區_Eastern_region,臺東縣_Taitung_County,花蓮縣_Hualien_County
1978,1.7,2,1.4,2.4,1,3.7,2.6,2.5,1.1,1.2,1.5,1,1.1,1,1.7,1.3,1.6,1.3,1.5,2.4,1.6,1.9,1.4,1.4,2.2,2.3,1.9,2.8
1978Jan.-June,1.8,,,2.7,,,,,,,,,,,,,,,,2.1,,,,,,,,
1978July-Dec.,1.6,,,2.2,,,,,,,,,,,,,,,,2.7,,,,,,,,
1979,1.3,1.4,1.2,1.6,0.8,3.2,2.1,1.9,0.8,1.1,1.2,1.2,1,0.9,1.1,1.2,1.2,0.9,1.2,2.3,1.2,1.4,0.9,0.6,2.2,1.7,1.6,1.7
1979Jan.-June,1.2,,,1.4,,,,,,,,,,,,,,,,2,,,,,,,,
1979July-Dec.,1.4,,,1.7,,,,,,,,,,,,,,,,2.5,,,,,,,,
1980,1.2,1.4,1.2,1.7,0.9,2.9,1.4,1.2,0.8,1,1.1,1.2,0.9,0.9,1.2,0.9,1.2,1.1,1.1,1.9,1,1.4,0.8,1.2,2.8,1.8,1.4,2.3
1980Jan.-June,1.1,,,1.6,,,,,,,,,,,,,,,,1.5,,,,,,,,
1980July-Dec.,1.4,,,1.7,,,,,,,,,,,,,,,,2.2,,,,,,,,
1981,1.4,1.5,1.4,1.6,1.1,3.6,1.3,1.4,0.8,1.1,1.3,1.3,1,1,0.9,1,1.4,1.7,1,2.4,1.2,1.8,0.6,1.1,2.9,1.6,1.2,2
1981Jan.-June,1.1,,,1.4,,,,,,,,,,,,,,,,2.1,,,,,,,,
1981July-Dec.,1.6,,,1.7,,,,,,,,,,,,,,,,2.7,,,,,,,,
1982,2.1,2.4,2.4,2.8,1.6,4.2,2.5,2.6,1.6,1.7,2.4,2.2,1.6,1.2,1.4,1.2,2.2,1.7,1.7,3.5,2.5,3.3,1.4,1.3,2.3,2.1,1.6,2.5
1982Jan.-June,1.6,,,2,,,,,,,,,,,,,,,,2.7,,,,,,,,
1982July-Dec.,2.6,,,3.5,,,,,,,,,,,,,,,,4.2,,,,,,,,
1983,2.7,2.9,2.6,3.3,2.1,5.5,3.1,3,1.7,2.2,3.4,2.1,1.7,1.8,2,2.5,2.9,3.2,2.4,3.8,3.7,4.8,1.2,1.9,3,2.8,2.8,2.8
1983Jan.-June,2.8,,,3.3,,,,,,,,,,,,,,,,3.6,,,,,,,,
1983July-Dec.,2.6,,,3.3,,,,,,,,,,,,,,,,4,,,,,,,,
1984,2.4,2.7,2.4,3.2,1.8,5.5,2.5,3,1.1,1.8,3.1,1.5,1.2,1.5,2.1,1.9,2.7,3.5,1.8,3.7,2.7,4.1,1.5,2.2,3.9,2.2,2,2.3
1984Jan.-June,2.3,,,3.2,,,,,,,,,,,,,,,,3.8,,,,,,,,
1984July-Dec.,2.6,,,3.2,,,,,,,,,,,,,,,,3.5,,,,,,,,
1985,2.9,3.3,2.9,3.6,2.6,5.6,3.3,4.1,2.7,2.3,3.7,2,1.9,2.2,2,2.2,3,4.1,2.2,4.2,3,4.2,1.8,2.1,3.6,3.2,2.7,3.8
1985Jan.-June,2.3,,,3,,,,,,,,,,,,,,,,3.3,,,,,,,,
1985July-Dec.,3.5,,,4.1,,,,,,,,,,,,,,,,5,,,,,,,,
1986,2.7,2.9,2.5,3.4,2.1,5.2,3.4,3.8,2.2,2,3.3,1.9,1.7,1.7,1.7,2,2.8,3.7,2.1,3.7,3,4,1.7,2.3,3.5,3.3,2.8,3.7
1986Jan.-June,2.7,,,3.7,,,,,,,,,,,,,,,,4,,,,,,,,
